Artista,Nome da Música,Letra da Música
Luiz Gonzaga,Fim de Festa / Polca Fogueteira / Lascando o Cano / Pagode Russo / Fogueira de Sao Joao,"Ontem eu sonhei que estava em Moscou Dançando pagode russo na Boate Cossacou Ontem eu sonhei que estava em Moscou Dançando pagode russo na Boate Cossacou Parecia até um frevo naquele cai ou não cai Parecia até um frevo naquele vai ou não vai Parecia até um frevo naquele cai ou não cai Parecia até um frevo naquele vai ou não vai Entra cossaco Cossaco dança agora Na dança do cossaco, não fica cossaco fora Entra cossaco Cossaco dança agora Na dança do cossaco, não fica cossaco fora Ei! Ontem eu sonhei que estava em Moscou Dançando pagode russo na Boate Cossacou Ontem eu sonhei que estava em Moscou Dançando pagode russo na Boate Cossacou Parecia até um frevo naquele cai e não cai Parecia até um frevo naquele vai e não vai Parecia até um frevo naquele cai e não cai Parecia até um frevo naquele vai e não vai Entra cossaco Cossaco dança agora Na dança do cossaco, não fica cossaco fora Entra cossaco Cossaco dança agora Na dança do cossaco, não fica cossaco fora Ei!Vamo, vamo Joana Vamo na carreira Vamo pra fogueira Festejá meu São João Vamo, vamo Joana Findou-se o inferno Houve bom inverno Há fartura no sertão ai... Joana traz pamonha, milho assado Vou matá de bucho inchado Quem num crê no meu sertão Traz a riúna que vou lascá o cano Pela safra desse ano Em louvor a São João } bis"
Luiz Gonzaga,A Vida do Viajante (feat. Gonzaguinha),"Minha vida é andar por este país Pra ver se um dia descanso feliz Guardando as recordações Das terras onde passei Andando pelos sertões e dos amigos que lá deixei. Chuva e sol, poeira e carvão Longe de casa sigo o roteiro mais uma estação E alegria no coração Minha vida é andar por este país Pra ver se um dia descanso feliz Guardando as recordações Das terras onde passei Andando pelos sertões e dos amigos que lá deixei. Mar e terra, inverno e verão Mostro o sorriso, mostro alegria mas eu mesmo não E a saudade no coração!"
Gilberto Gil,Eu Só Quero Um Xodó,Que falta eu sinto de um bem Que falta me faz um xodó Mas como eu não tenho ninguém Eu levo a vida assim tão só Eu só quero um amor Que acabe o meu sofrer Um xodó pra mim Do meu jeito assim Que alegre o meu viver ...
Falamansa,Xote Dos Milagres,"Escrevi seu nome na areia O sangue que corre em mim sai da tua veia Veja só você é a única que não me dá valor Então por que será que este valor é o que eu ainda quero ter Tenho tudo nas mãos, mas não tenho nada. Então melhor ter nada e lutar pelo que eu quiser Ê, mas péra aê. Ouça o forró tocando e muita gente aê Não é hora pra chorar Porem não é pecado se eu falar de amor Se eu canto sentimento seja ele qual for Me leva onde eu quero ir Se quiser também pode vir Escuta o meu coração Que bate no compasso da zabumba de paixão Ê pra surdo ouvir, pra cego ver que este xote faz milagre acontecer. Ê pra surdo ouvir, pra cego ver que este xote faz milagre acontecer. Ê pra surdo ouvir, pra cego ver que este xote faz milagre acontecer. Ê pra surdo ouvir, pra cego ver Falamansa faz milagre acontecer."
Traia Véia,Wi-Fi - Ao Vivo,"Por que é que depois das dez da noite Cê não atende chamada de vídeo? Será que tem alguém aí escondido? (Será?) A nossa conexão tá falhando, já faz tempo Que aqui não chega os: Eu te amo Daqueles que deixa o coração vibrando E é por isso que eu tô me preocupando Nosso amor tá oscilando Uou, uou, uou, uou Se o Wi-Fi tá lento, travando Tem mais gente usando E nem é de Internet que eu tô falando Se o Wi-Fi tá lento, travando Tem mais gente usando E nem é de Internet que eu tô falando Do seu amor eu tô me desligando Uou, uou, uou, uou A nossa conexão tá falhando, já faz tempo Que aqui não chega os: Eu te amo Daqueles que deixa o coração vibrando E é por isso que eu tô me preocupando Nosso amor tá oscilando (tá oscilando) Uou, uou, uou, uou Se o Wi-Fi tá lento, travando Tem mais gente usando E nem é de Internet que eu tô falando Se o Wi-Fi tá lento, travando Tem mais gente usando E nem é de Internet que eu tô falando Se o Wi-Fi (Wi-Fi) tá lento (tá lento), travando (travando) Tem mais gente usando (uou, usando) E nem é de Internet que eu tô falando Do seu amor eu tô me desligando Uh, uh Do seu amor eu tô me desligando Uh, uh E nem é de Internet que eu tô falando E se o Wi-Fi tá lento, travando Tem mais gente usando E nem é de Internet que eu tô falando E se o Wi-Fi tá lento, travando Tem mais gente usando E nem é de Internet que eu tô falando Do seu amor eu tô me desligando"
dj sv,Mtg Forró e Desmantelo,"O teu olhar paralisou meu coração Tua beleza é a mais linda perfeição O teu cheiro enfeitiçou esse vaqueiro Fiquei na sua mão Encontrei em você, meu bem O par perfeito que eu sempre sonhei pra mim E toda vaquejada é assim Tome forró e desmantelo, telo Eu e você dançando a noite toda Eu perdidinho no teu beijo, beijo Minha vaqueira, é bom demais amar você e você me amar Tome forró e desmantelo, telo Eu e você dançando a noite toda E eu perdidinho no teu beijo, beijo Minha vaqueira, é bom demais amar você e você me amar O teu olhar paralisou meu coração Tua beleza é a mais linda perfeição O teu cheiro enfeitiçou esse vaqueiro Fiquei na sua mão Encontrei em você, meu bem O par perfeito que eu sempre sonhei pra mim E toda vaquejada é assim Tome forró e desmantelo, telo Eu e você dançando a noite toda Eu perdidinho no teu beijo, beijo Minha vaqueira, é bom demais amar você e você me amar Tome forró e desmantelo, telo Eu e você dançando a noite toda E eu perdidinho no teu beijo, beijo Minha vaqueira, é bom demais amar você e você me amar"
NATTAN,Patrai,"(Coloca o capacete que lá vem pedrada!) (Nattanzinho) (oi?) (Que solinho é esse, hein?) (Ai, Nattanzinho) (vai, chama!) (Vai, Nattanzinho) Passei a noite pensando, quase que eu não durmo Que lapa de raba da porra, tu sentando é um absurdo Senta, senta, sarra, sarra, joga e se contrai Tira a calcinha, amor, pro Nattanzinho, vai Passei a noite pensando, quase que eu não durmo Que lapa de raba da porra, ela sentando é um absurdo Senta, senta e sarra, sarra, joga e se contrai Tira a calcinha, amor, vai, Nattanzinho, chama, ó Olha pra trai, pra trai, pra trai, pra trai Olha pra trás, pra trás, vai pro Nattanzinho, vai Olha pra trai, pra trai, pra trai, pra trai Tira a calcinha, amor, ui, ai Olha pra trai, pra trai, pra trai, pra trai Olha pra trai, pra trai, pra trai, pra trai Olha pra trai, pra trai, pra trai, pra trai, pra trai, pra trai Tira a calcinha, amor, vai, vai (Olha o solo) (é pra bater no paredão) (uou) (Traz cachaça, cerveja, três copo) (e um revólver) Passei a noite pensando, quase que eu não durmo Que lapa de raba da porra, tu sentando é um absurdo Senta, senta, sarra, sarra, joga e se contrai Tira a calcinha, amor, va-va-va-vai Eu passei a noite pensando, quase que eu não durmo Que lapa de raba da porra, ela sentando é um absurdo Senta, senta, sarra, sarra, joga e se contrai Tira a calcinha, amor, pro Nattanzinho, vai Olha pra trai, pra trai, pra trai, pra trai Olha pra trai, ui, que suingue diferente Olha pra trás, pra trás, pra trás, pra trás Olha pra trás, que raba, minha filha (Vem pra trás devagarinho, tá, mô?) (Daquele jeito) (vai!) (The King of Swing, soy yo) (que é pra bater no paredão) (vai!)"
NATTAN,Amor Na Praia,"Isso é mais um sucesso do Nattanzinho Só falando de amor O que eu mais quero é te amar na praia Ah-ah-ah-ah-ah-ah-ah Dizer ""eu te amo"" bem na tua cara Ah-ah-ah-ah-ah O meu coração tá perguntando por você Ele só volta a bater quando você aparecer Então, volta logo, que até meu relógio Tá contando as horas pra te ter aqui comigo Traz de volta o meu sorriso Ô, o que eu mais quero é te amar na praia Ah-ah-ah-ah-ah-ah-ah Dizer ""eu te amo"" bem na tua cara Ah-ah-ah-ah-ah-ah-ah O que eu mais quero é te amar na praia Ah-ah-ah-ah-ah-ah-ah Dizer ""eu te amo"" bem na tua cara Ah-ah-ah-ah-ah-ah-ah É o Nattanzinho falando de amor Quero dizer ""еu te amo"" bem na tua cara, hehе O meu coração tá perguntando por você Ele só volta a bater quando você aparecer Então, volta logo, que até meu relógio Tá contando as horas pra te ter aqui comigo Traz de volta o meu sorriso O que eu mais quero é te amar na praia Ah-ah-ah-ah-ah-ah-ah Dizer ""eu te amo"" bem na tua cara Ah-ah-ah-ah-ah-ah-ah O que eu mais quero é te amar na praia Ah-ah-ah-ah-ah-ah-ah Dizer ""eu te amo"" bem na tua cara Ah-ah-ah-ah-ah-ah-ah"
NATTAN,Eu Vou Sentar,"É Sei que demorou, mas hoje vai rolar Esperem tanto tempo pra gente se amar Coloquem na caixinha um som pra tocar E na geladeira umas pra gelar e vai ser bom Eu vou sentar Gostoso Oh baby, chegou teu momento Me ensinar no movimento Me usa e me faz de bombom Eu vou sentar Gostoso Oh baby, tu tem o talento Me instiga no movimento Me usa e me faz de bombom Eu vou sentar Então vem, vem neném Vem me chamar de amor Enquanto você pede eu vou sentando mais Eu sei que tá bom só de olhar pra trás A sentada malvada, a minha enrolada O cheiro gostoso que te satisfaz Eu sei que demorou, mas hoje vai rolar Esperei tanto tempo pra gente se amar Coloquem na caixinha um som pra tocar E na geladeira umas pra gelar e vai ser bom Eu vou sentar Gostoso Oh baby, chegou teu momento Me ensinar no movimento Me usa e me faz de bombom Eu vou sentar Gostoso Oh baby, tu tem o talento Me instiga no movimento Me usa e me faz de bombom Eu vou sentar Gostoso Oh baby, chegou teu momento Me instiga no movimento Me usa e me faz de bombom Eu vou sentar Então vem, vem neném Vem me chamar de amor Nattanzinho Vem me chamar de amor Vem me chamar de amor Tamo junto"
Zé Vaqueiro,Maravilhosa - Ao Vivo,"De cabelo preto, de chapéu e bota Ô, do jeitinho que o vaqueiro gosta Diferenciada, isso que é mulher Corre vaquejada, dança forró e toma Dreher E maravilhosa, ah, ah, ah Bonita e cheirosa, ah, ah, ah Ô boca gostosa, ah, ah, ah Eu tô pra ver vaqueiro não se apaixonar E maravilhosa, ah, ah, ah Bonita e cheirosa, ah, ah Ô boca gostosa, ah, ah, ah Eu tô pra ver vaqueiro não se apaixonar Eu disse: De cabelo preto, de chapéu e bota Ô, do jeitinho que o vaqueiro gosta Diferenciada, isso que é mulher Corre vaquejada, dança forró e toma Dreher E maravilhosa, ah, ah, ah Bonita e cheirosa, ah, ah, ah Ô boca gostosa, ah, ah, ah Eu tô pra ver vaqueiro não se apaixonar E maravilhosa, ah, ah, ah Bonita e cheirosa, ah, ah Ô boca gostosa, ah, ah, ah Eu tô pra ver vaqueiro não se apaixonar E do jeitinho que o vaqueiro gosta"
Manim Vaqueiro,Forró e Desmantelo,"Manim vaqueiro O teu olhar paralisou meu coração Tua beleza é a mais linda perfeição O teu cheiro enfeitiçou esse vaqueiro Fiquei na sua mão Encontrei em você, meu bem O par perfeito que eu sempre sonhei pra mim E toda vaquejada é assim Tome forró e desmantelo, telo Eu e você dançando a noite toda Eu perdidinho no teu beijo, beijo Minha vaqueira, é bom demais amar você e você me amar Tome forró e desmantelo, telo Eu e você dançando a noite toda E eu perdidinho no teu beijo, beijo Minha vaqueira, é bom demais amar você e você me amar O teu olhar paralisou meu coração Tua beleza é a mais linda perfeição O teu cheiro enfeitiçou esse vaqueiro Fiquei na sua mão Encontrei em você, meu bem O par perfeito que eu sempre sonhei pra mim E toda vaquejada é assim Tome forró e desmantelo, telo Eu e você dançando a noite toda Eu perdidinho no teu beijo, beijo Minha vaqueira, é bom demais amar você e você me amar Tome forró e desmantelo, telo Eu e você dançando a noite toda E eu perdidinho no teu beijo, beijo Minha vaqueira, é bom demais amar você e você me amar"
Wesley Safadão,Novinha Não Chora,"O namorado dela brincou Só que ela acordou Na balada brotou, tá solta Por um tempo ela chorou Só que não demorou Com as amigas bailou, tá louca Não precisa dele pra porra nenhuma Você só precisa agora se amar Namoro acaba, a festa continua Se solta e deixa essa vibe te levar Novinha não chora Sorria, que a vida é uma putaria Senta, senta na putaria Joga, joga na putaria Com o teu ex é só tristeza Pra tu é só alegria Novinha não chora Sorria, que a vida é uma putaria Senta, senta na putaria Joga, joga na putaria Com o teu ex é só tristeza Pra tu é só alegria O namorado dela brincou Só que ela acordou Na balada brotou, tá solta Por um tempo ela chorou Só que não demorou Com as amigas bailou, tá louca Não precisa dele pra porra nenhuma Você só precisa agora se amar Namoro acaba, a festa continua Se solta e deixa essa vibe te levar Novinha não chora Sorria, que a vida é uma putaria Senta, senta na putaria Joga, joga na putaria Com o teu ex é só tristeza Pra tu é só alegria Novinha não chora Sorria, que a vida é uma putaria Senta, senta na putaria Joga, joga na putaria Com o teu ex é só tristeza Pra tu é só alegria Joga, joga na putaria Senta, senta na putaria Joga, joga na putaria"
Os Barões Da Pisadinha,"Me Liga, Me Chama - Ao Vivo",Tá de namoradinho novo Tá dando um gelinho em mim Eu nem vou te procurar Boa sorte com esse cara aí Se terminou tá terminado A gente não precisa brigar Mas não apaga meu contato Que um dia você pode precisar Se ele não dá conta do recado em cima da sua cama Me liga me chama Me liga me chama Se ele não te deixa molhadinha e nem com a perna bamba Me liga me chama Me liga me chama se ele não dá conta do recado em cima da sua cama Me liga me chama Me liga me chama Se ele não te deixa molhadinha e nem com a perna bamba Me liga me chama Me liga me chama Tá de namoradinho novo Tá dando um gelinho em mim Eu nem vou te procurar Boa sorte com esse cara aí Se terminou tá terminado A gente não precisa brigar Mas não apaga meu contato Que um dia você pode precisar Se ele não dá conta do recado em cima da sua cama Me liga me chama Me liga me chama Se ele não te deixa molhadinha e nem com a perna bamba Me liga me chama Me liga me chama se ele não dá conta do recado em cima da sua cama Me liga me chama Me liga me chama Se ele não te deixa molhadinha e nem com a perna bamba Me liga me chama Me liga me chama
Henry Freitas,Barulho do Prazer,"O esporte preferido dela é dá perdido em vacilão Já tô sabendo Ela arranca o teu sim até quando você quer dizer não Então vai vendo Grandona Igual a vontade de se envolver, doidona Igual a loucura que eu quero fazer Já que tem faísca vamo jogar gasolina só pra ver Vai pegar fogo Nós dois lá no meu cafofo Vuco vuco, vira olho Tua perna vai tremer No corpo a corpo Cada bota é um papoco Os vizinho vão ficar doido Com o barulho do prazer Vai pegar fogo Nós dois lá no meu cafofo Vuco vuco, vira olho Tua perna vai tremer No corpo a corpo Cada bota é um papoco Os vizinho vão ficar doido Com o barulho do prazer Mulher, olha o barulinho do amor Olha o barulinho do amor Querida, olha o barulinho do amor Olha o barulinho do amor É só botada, botada, botada, botada, botada no teu popô É só botada concentrada arrebentando o teu popô É só botada concentrada arrebentando o teu popô Não é segredo, a gente pega fogo Apaixonou porque eu faço gostoso Pouca pausa, me pede de novo Senta pro moço, dono do cafofo Vai pegar fogo Nós dois lá no meu cafofo Vuco vuco, vira olho Tua perna vai tremer No corpo a corpo Cada bota é um papoco Os vizinho vão ficar doido Com o barulho do prazer Vai pegar fogo Nós dois lá no meu cafofo Vuco vuco, vira olho Tua perna vai tremer No corpo a corpo Cada bota é um papoco Os vizinho vão ficar doido Com o barulho do prazer Mulher, olha o barulinho do amor Olha o barulinho do amor Querida, olha o barulinho do amor Olha o barulinho do amor É só botada, botada, botada, botada, botada no teu popô É só botada concentrada arrebentando o teu popô É só botada concentrada arrebentando o teu popô"
Henry Freitas,Barulho do Prazer,"O esporte preferido dela é dá perdido em vacilão Já tô sabendo Ela arranca o teu sim até quando você quer dizer não Então vai vendo Grandona Igual a vontade de se envolver, doidona Igual a loucura que eu quero fazer Já que tem faísca vamo jogar gasolina só pra ver Vai pegar fogo Nós dois lá no meu cafofo Vuco vuco, vira olho Tua perna vai tremer No corpo a corpo Cada bota é um papoco Os vizinho vão ficar doido Com o barulho do prazer Vai pegar fogo Nós dois lá no meu cafofo Vuco vuco, vira olho Tua perna vai tremer No corpo a corpo Cada bota é um papoco Os vizinho vão ficar doido Com o barulho do prazer Mulher, olha o barulinho do amor Olha o barulinho do amor Querida, olha o barulinho do amor Olha o barulinho do amor É só botada, botada, botada, botada, botada no teu popô É só botada concentrada arrebentando o teu popô É só botada concentrada arrebentando o teu popô Não é segredo, a gente pega fogo Apaixonou porque eu faço gostoso Pouca pausa, me pede de novo Senta pro moço, dono do cafofo Vai pegar fogo Nós dois lá no meu cafofo Vuco vuco, vira olho Tua perna vai tremer No corpo a corpo Cada bota é um papoco Os vizinho vão ficar doido Com o barulho do prazer Vai pegar fogo Nós dois lá no meu cafofo Vuco vuco, vira olho Tua perna vai tremer No corpo a corpo Cada bota é um papoco Os vizinho vão ficar doido Com o barulho do prazer Mulher, olha o barulinho do amor Olha o barulinho do amor Querida, olha o barulinho do amor Olha o barulinho do amor É só botada, botada, botada, botada, botada no teu popô É só botada concentrada arrebentando o teu popô É só botada concentrada arrebentando o teu popô"
Thullio Milionário,Casca de Bala,"E final de semana tem, nós vamos para o bolão Eu e Casca de Bala, derrubar o boi no chão Final de semana tem, nós vamos para o bolão Eu e Casca de Bala, derrubar o boi no chão Vai rolar muita cachaça e o paredão ligado Cinco horas da manhã e nós botando pegado As vaqueirinhas tudo bêba, já tudo endreada Só dá eu e meu parceiro, o, o Casca de Bala Eu e Casca de Bala Eu e Casca de Bala Nós não perde uma vaquejada Nós não perde uma vaquejada Eu e Casca de Bala Eu e Casca de Bala Nós não perde uma vaquejada Nós não perde uma vaquejada E final de semana tem, nós vamos para o bolão Eu e Casca de Bala, derrubar o boi no chão Final de semana tem, nós vamos para o bolão Eu e Casca de Bala, derrubar o boi no chão Vai rolar muita cachaça e o paredão ligado Cinco horas da manhã e nós botando pegado As vaqueirinhas tudo bêba, já tudo endreada Só dá eu e meu parceiro, o, o Casca de Bala Eu e Casca de Bala Eu e Casca de Bala Nós não perde uma vaquejada Nós não perde uma vaquejada Eu e Casca de Bala Eu e Casca de Bala Nós não perde uma vaquejada Nós não perde uma vaquejada"
Henry Freitas,Tem Café,"Você já sabe qual é Quando você ver o meu sinal Tá na hora de meter o pé Pra minha casa (é mais uma da prévia da terapia!) E não é pra ir tomar café (balança, balança!) Você já sabe qual é É só ir seguindo a marginal Passa o shopping Tatuapé Já tá em casa (derruba!) E não é pra ir tomar café Tem café, mas prefiro um chá Que é pra relaxar, te deixar louca Tem café, mas prefiro um chá Que é pra relaxar e te deixar louca E eu gosto quando você fica louca Fica assanhada, fica toda solta Faz cara de safada e vem tirar a roupa Gosta da terapia, disse que hoje fica louca E, por mim, pode continuar E, por mim, não tem por que parar Se tem o que fazer, en-então-tão faça Sei que ela gosta da terapia de graça E eu não sei quem inventou a vodka Mas, que invenção de outro patamar Ela me disse que gosta da terapia Do henry freitas todo dia, ela gosta de balançar Quando eu te vi, eu 'tava bem louco"
Eric Land,Chorei na Vaquejada,"Cinco da manhã o dia amanhecendo Na pista ainda tem cavalo correndo O litro de Dreher já foi o terceiro Já tá tudo rodando, tô pra lá de bebo Procurando área pra ligar pra ela Mesmo sabendo que ela não vai me atender Eu tô no vaquejada mas com a mente nela Ô vaqueiro pra sofrer Chorei, na vaquejada eu chorei Quando tocou a nossa música lembrei Chorei, chorei, chorei, chorei Saudade da minha morena, eu chorei Na vaquejada eu chorei Quando tocou a nossa música lembrei Chorei, chorei, chorei, chorei Saudades da minha morena, chorei"
